r/R [-],Cx [mm],Cy [mm],Cz [mm],B [deg],filename
0.125,6.713722240546818,7.051297835188716,0.0,34.1104050834199,sec_000_r0.125.dxf
0.1286008230452675,6.917751912844649,7.257008771291853,2.8806584362139063,34.07660355057362,sec_001_r0.129.dxf
0.1453693311452915,7.898215102448748,7.749906262627203,16.29546491623311,32.162537355981385,sec_002_r0.145.dxf
0.1811312761712136,9.128344107968115,7.3964905493476625,44.9050209369708,26.722622612637657,sec_003_r0.181.dxf
0.24022633744855965,9.982049679801897,6.2203512596175905,92.18106995884764,19.634805754159235,sec_004_r0.240.dxf
0.3262921276041478,9.42944126484991,4.489920155410786,161.03370208331813,13.167464437576882,sec_005_r0.326.dxf
0.44252644813856007,7.646404151051248,2.9005372379624346,254.021158510848,8.478970072988748,sec_006_r0.443.dxf
0.5918172323534744,5.963110073677755,1.8531320743317485,373.45378588277947,4.9690256543346845,sec_007_r0.592.dxf
0.7768185966493277,4.626167951322796,1.2125888236423858,521.4548773194622,2.3932301324812824,sec_008_r0.777.dxf
1.0,3.3995125634126833,0.7605261574667609,700.0,0.315909961538458,sec_009_r1.000.dxf
